Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 512, 1, 16, 8, 0.106644, 0.0894931, N/A, 0.0046653, 0.00577247, 13.9743, 0.0644023, 2, 2, 1, 1, 1, 2, 19.1099, 2, 2, 1, 1, 2, 1, 40.6251, 
22, 512, 1, 16, 8, 0.103356, 0.0822828, N/A, 0.00369035, 0.00556096, 9.94386, 0.0350511, 2, 2, 1, 2, 1, 1, 19.725, 2, 2, 0.5, 1, 1, 1, 50.3708, 
22, 512, 1, 16, 2, 0.0994031, 0.0761348, N/A, 0.00158132, 0.00215168, 9.37955, 0.021519, 2, 2, 0.5, 1, 1, 4, 45.7127, 2, 2, 1, 1, 2, 1, 39.5193, 
22, 512, 1, 16, 1, 0.100895, 0.078053, N/A, 0.00139092, 0.00184379, 9.29586, 0.0198705, 2, 2, 0.5, 8, 1, 1, 49.2293, 2, 2, 1, 1, 2, 1, 39.5193, 
22, 512, 1, 16, 1, 0.104353, 0.078053, N/A, 0.00139092, 0.00184379, 9.29586, 0.0198705, 2, 2, 0.5, 8, 1, 1, 49.2293, 2, 2, 1, 1, 2, 1, 39.5193, 
22, 512, 1, 16, 1, 0.104353, 0.078053, N/A, 0.00139092, 0.00184379, 9.29586, 0.0198705, 2, 2, 0.5, 8, 1, 1, 49.2293, 2, 2, 1, 1, 2, 1, 39.5193, 
22, 512, 1, 16, 1, 0.138554, 0.0895002, N/A, 0.00431456, 0.00317304, 22.5938, 0.0423904, 2, 2, 0.5, 8, 1, 1, 49.3683, 2, 4, 0.5, 1, 1, 1, 27.2015, 
22, 512, 1, 16, 1, 0.104353, 0.078053, N/A, 0.00139092, 0.00184379, 9.29586, 0.0198705, 2, 2, 0.5, 8, 1, 1, 49.2293, 2, 2, 1, 1, 2, 1, 39.5193, 
